qualification,income_2yr,income_5yr,growth_pct
Professional degree,98200.0,117400.0,19.6
Doctoral degree,80300.0,96400.0,20.0
Master's diploma,73200.0,94500.0,29.1
Master's degree,78100.0,89400.0,14.5
Post-baccalaureate non-graduate diploma,61900.0,77400.0,25.0
Undergraduate degree,59300.0,71600.0,20.7
Undergraduate certificate,61100.0,71400.0,16.9
"Post career, technical or professional training program certificate",53100.0,63700.0,20.0
"Career, technical or professional training short credential",45800.0,53500.0,16.8
"Career, technical or professional training diploma",47400.0,53300.0,12.4
"Career, technical or professional training certificate",41900.0,46800.0,11.7
