rnk,field,income_5yr,graduates
1,"Interdisciplinary mathematics, computer and information sciences",103900,60
2,Computer and information sciences and support services,99200,3120
3,Engineering,93300,10720
4,"Mathematics, computer and information sciences",92800,4170
5,"Architecture, engineering, and related trades",91700,11880
6,Engineering/engineering-related technologies/technicians,90300,480
7,Health professions and related programs,88200,12020
8,Health and related fields,83700,14110
9,"Business, management, marketing and related support services",77400,24690
10,"Business, management and public administration",76200,27520
11,Transportation and materials moving,74000,50
12,Mathematics and statistics,71500,990
13,"Personal, protective and transportation services",71400,970
13,Physical sciences,71400,1330
15,Security and protective services,71100,920
