field,income_2yr,income_5yr,growth_pct
"Interdisciplinary mathematics, computer and information sciences [30D]",75800,103900,37.1
Biological and physical sciences,46100,62400,35.4
History,42000,55900,33.1
Biological and biomedical sciences,46100,61000,32.3
Transportation and materials moving,56200,74000,31.7
Mathematics and statistics,54500,71500,31.2
Physical and life sciences and technologies,49200,63700,29.5
Computer and information sciences and support services,76700,99200,29.3
"Mathematics, computer and information sciences",71900,92800,29.1
Physical sciences,55400,71400,28.9
