field,women,men,women_pct_of_men
"Interdisciplinary mathematics, computer and information sciences [30D]",68500,105800,64.7
Interdisciplinary humanities [30A],41200,57300,71.9
Family and consumer sciences/human sciences,52500,69900,75.1
Theology and religious vocations,46900,62300,75.3
"Personal, protective and transportation services",63900,81000,78.9
Security and protective services,64300,81400,79.0
Architecture and related services,58500,73400,79.7
Interdisciplinary social and behavioural sciences [30B],59100,69300,85.3
"Liberal arts and sciences, general studies and humanities",54700,63600,86.0
"Area, ethnic, cultural, gender, and group studies",57000,66000,86.4
Biological and physical sciences,59000,68300,86.4
Social sciences,59000,68300,86.4
