qualification,canadian,international,intl_pct_of_cdn
Professional degree,98200,95000,96.7
Doctoral degree,83000,69600,83.9
Master's degree,81600,64400,78.9
Post-baccalaureate non-graduate diploma,76200,50700,66.5
Master's diploma,74200,52300,70.5
Undergraduate certificate,62000,44200,71.3
Undergraduate degree,60000,49500,82.5
"Post career, technical or professional training program certificate",59500,46200,77.6
"Career, technical or professional training diploma",47700,45600,95.6
"Career, technical or professional training short credential",45900,42700,93.0
"Career, technical or professional training certificate",41900,41300,98.6
